Time	Node	Type	Packets	
1	0	CacheHits	5
1	0	CacheMisses	47
1	1	CacheHits	0
1	1	CacheMisses	61
1	2	CacheHits	1
1	2	CacheMisses	48
1	3	CacheHits	5
1	3	CacheMisses	38
1	4	CacheHits	6
1	4	CacheMisses	38
1	5	CacheHits	4
1	5	CacheMisses	42
1	6	CacheHits	0
1	6	CacheMisses	56
1	7	CacheHits	3
1	7	CacheMisses	45
1	8	CacheHits	0
1	8	CacheMisses	117
1	9	CacheHits	4
1	9	CacheMisses	45
1	12	CacheHits	7
1	12	CacheMisses	18
1	13	CacheHits	6
1	13	CacheMisses	16
1	14	CacheHits	7
1	14	CacheMisses	20
1	15	CacheHits	7
1	15	CacheMisses	18
1	16	CacheHits	12
1	16	CacheMisses	24
1	17	CacheHits	5
1	17	CacheMisses	19
1	18	CacheHits	0
1	18	CacheMisses	81
1	19	CacheHits	0
1	19	CacheMisses	24
1	22	CacheHits	7
1	22	CacheMisses	20
1	23	CacheHits	0
1	23	CacheMisses	22
1	24	CacheHits	4
1	24	CacheMisses	18
1	25	CacheHits	3
1	25	CacheMisses	40
1	26	CacheHits	3
1	26	CacheMisses	18
1	27	CacheHits	0
1	27	CacheMisses	43
1	28	CacheHits	0
1	28	CacheMisses	64
1	29	CacheHits	3
1	29	CacheMisses	20
1	30	CacheHits	6
1	30	CacheMisses	17
1	31	CacheHits	5
1	31	CacheMisses	18
1	32	CacheHits	0
1	32	CacheMisses	22
1	33	CacheHits	0
1	33	CacheMisses	60
1	34	CacheHits	0
1	34	CacheMisses	23
1	35	CacheHits	0
1	35	CacheMisses	21
1	36	CacheHits	0
1	36	CacheMisses	21
1	37	CacheHits	8
1	37	CacheMisses	14
1	38	CacheHits	0
1	38	CacheMisses	55
1	39	CacheHits	0
1	39	CacheMisses	124
1	40	CacheHits	0
1	40	CacheMisses	21
1	41	CacheHits	2
1	41	CacheMisses	21
2	0	CacheHits	2
2	0	CacheMisses	45
2	1	CacheHits	0
2	1	CacheMisses	63
2	2	CacheHits	7
2	2	CacheMisses	30
2	3	CacheHits	7
2	3	CacheMisses	31
2	4	CacheHits	6
2	4	CacheMisses	37
2	5	CacheHits	9
2	5	CacheMisses	32
2	6	CacheHits	0
2	6	CacheMisses	57
2	7	CacheHits	6
2	7	CacheMisses	34
2	8	CacheHits	0
2	8	CacheMisses	117
2	9	CacheHits	5
2	9	CacheMisses	47
2	12	CacheHits	5
2	12	CacheMisses	14
2	13	CacheHits	12
2	13	CacheMisses	8
2	14	CacheHits	7
2	14	CacheMisses	13
2	15	CacheHits	4
2	15	CacheMisses	15
2	16	CacheHits	7
2	16	CacheMisses	24
2	17	CacheHits	5
2	17	CacheMisses	14
2	18	CacheHits	0
2	18	CacheMisses	81
2	19	CacheHits	0
2	19	CacheMisses	20
2	22	CacheHits	7
2	22	CacheMisses	12
2	23	CacheHits	0
2	23	CacheMisses	19
2	24	CacheHits	4
2	24	CacheMisses	15
2	25	CacheHits	1
2	25	CacheMisses	30
2	26	CacheHits	8
2	26	CacheMisses	12
2	27	CacheHits	0
2	27	CacheMisses	37
2	28	CacheHits	0
2	28	CacheMisses	68
2	29	CacheHits	4
2	29	CacheMisses	14
2	30	CacheHits	11
2	30	CacheMisses	8
2	31	CacheHits	6
2	31	CacheMisses	13
2	32	CacheHits	0
2	32	CacheMisses	17
2	33	CacheHits	0
2	33	CacheMisses	42
2	34	CacheHits	0
2	34	CacheMisses	17
2	35	CacheHits	0
2	35	CacheMisses	20
2	36	CacheHits	0
2	36	CacheMisses	18
2	37	CacheHits	5
2	37	CacheMisses	14
2	38	CacheHits	0
2	38	CacheMisses	58
2	39	CacheHits	0
2	39	CacheMisses	116
2	40	CacheHits	0
2	40	CacheMisses	16
2	41	CacheHits	3
2	41	CacheMisses	16
3	0	CacheHits	1
3	0	CacheMisses	43
3	1	CacheHits	0
3	1	CacheMisses	65
3	2	CacheHits	7
3	2	CacheMisses	31
3	3	CacheHits	12
3	3	CacheMisses	22
3	4	CacheHits	3
3	4	CacheMisses	35
3	5	CacheHits	4
3	5	CacheMisses	37
3	6	CacheHits	0
3	6	CacheMisses	54
3	7	CacheHits	1
3	7	CacheMisses	42
3	8	CacheHits	0
3	8	CacheMisses	124
3	9	CacheHits	5
3	9	CacheMisses	40
3	12	CacheHits	8
3	12	CacheMisses	11
3	13	CacheHits	9
3	13	CacheMisses	10
3	14	CacheHits	6
3	14	CacheMisses	12
3	15	CacheHits	5
3	15	CacheMisses	14
3	16	CacheHits	3
3	16	CacheMisses	23
3	17	CacheHits	4
3	17	CacheMisses	15
3	18	CacheHits	0
3	18	CacheMisses	80
3	19	CacheHits	0
3	19	CacheMisses	20
3	22	CacheHits	4
3	22	CacheMisses	15
3	23	CacheHits	0
3	23	CacheMisses	20
3	24	CacheHits	3
3	24	CacheMisses	17
3	25	CacheHits	3
3	25	CacheMisses	32
3	26	CacheHits	4
3	26	CacheMisses	15
3	27	CacheHits	0
3	27	CacheMisses	35
3	28	CacheHits	0
3	28	CacheMisses	55
3	29	CacheHits	7
3	29	CacheMisses	13
3	30	CacheHits	14
3	30	CacheMisses	6
3	31	CacheHits	3
3	31	CacheMisses	15
3	32	CacheHits	0
3	32	CacheMisses	18
3	33	CacheHits	0
3	33	CacheMisses	44
3	34	CacheHits	0
3	34	CacheMisses	19
3	35	CacheHits	0
3	35	CacheMisses	17
3	36	CacheHits	0
3	36	CacheMisses	20
3	37	CacheHits	5
3	37	CacheMisses	15
3	38	CacheHits	0
3	38	CacheMisses	57
3	39	CacheHits	0
3	39	CacheMisses	131
3	40	CacheHits	0
3	40	CacheMisses	17
3	41	CacheHits	4
3	41	CacheMisses	15
4	0	CacheHits	0
4	0	CacheMisses	41
4	1	CacheHits	0
4	1	CacheMisses	61
4	2	CacheHits	10
4	2	CacheMisses	30
4	3	CacheHits	13
4	3	CacheMisses	27
4	4	CacheHits	7
4	4	CacheMisses	34
4	5	CacheHits	9
4	5	CacheMisses	30
4	6	CacheHits	0
4	6	CacheMisses	47
4	7	CacheHits	0
4	7	CacheMisses	43
4	8	CacheHits	0
4	8	CacheMisses	116
4	9	CacheHits	3
4	9	CacheMisses	45
4	12	CacheHits	7
4	12	CacheMisses	12
4	13	CacheHits	6
4	13	CacheMisses	12
4	14	CacheHits	8
4	14	CacheMisses	12
4	15	CacheHits	2
4	15	CacheMisses	16
4	16	CacheHits	2
4	16	CacheMisses	26
4	17	CacheHits	9
4	17	CacheMisses	10
4	18	CacheHits	0
4	18	CacheMisses	77
4	19	CacheHits	0
4	19	CacheMisses	19
4	22	CacheHits	8
4	22	CacheMisses	12
4	23	CacheHits	0
4	23	CacheMisses	18
4	24	CacheHits	9
4	24	CacheMisses	10
4	25	CacheHits	2
4	25	CacheMisses	27
4	26	CacheHits	7
4	26	CacheMisses	12
4	27	CacheHits	0
4	27	CacheMisses	43
4	28	CacheHits	0
4	28	CacheMisses	65
4	29	CacheHits	6
4	29	CacheMisses	13
4	30	CacheHits	8
4	30	CacheMisses	10
4	31	CacheHits	11
4	31	CacheMisses	9
4	32	CacheHits	0
4	32	CacheMisses	18
4	33	CacheHits	0
4	33	CacheMisses	40
4	34	CacheHits	0
4	34	CacheMisses	19
4	35	CacheHits	0
4	35	CacheMisses	19
4	36	CacheHits	0
4	36	CacheMisses	20
4	37	CacheHits	7
4	37	CacheMisses	12
4	38	CacheHits	0
4	38	CacheMisses	53
4	39	CacheHits	0
4	39	CacheMisses	116
4	40	CacheHits	0
4	40	CacheMisses	18
4	41	CacheHits	4
4	41	CacheMisses	16
