Time	Node	Type	Packets	
1	0	CacheHits	3
1	0	CacheMisses	33
1	1	CacheHits	8
1	1	CacheMisses	59
1	2	CacheHits	8
1	2	CacheMisses	34
1	3	CacheHits	7
1	3	CacheMisses	56
1	4	CacheHits	0
1	4	CacheMisses	58
1	5	CacheHits	1
1	5	CacheMisses	36
1	6	CacheHits	1
1	6	CacheMisses	40
1	7	CacheHits	1
1	7	CacheMisses	46
1	8	CacheHits	6
1	8	CacheMisses	35
2	0	CacheHits	8
2	0	CacheMisses	19
2	1	CacheHits	3
2	1	CacheMisses	42
2	2	CacheHits	7
2	2	CacheMisses	26
2	3	CacheHits	4
2	3	CacheMisses	40
2	4	CacheHits	0
2	4	CacheMisses	44
2	5	CacheHits	3
2	5	CacheMisses	28
2	6	CacheHits	0
2	6	CacheMisses	21
2	7	CacheHits	7
2	7	CacheMisses	24
2	8	CacheHits	10
2	8	CacheMisses	17
3	0	CacheHits	8
3	0	CacheMisses	21
3	1	CacheHits	2
3	1	CacheMisses	42
3	2	CacheHits	7
3	2	CacheMisses	20
3	3	CacheHits	4
3	3	CacheMisses	35
3	4	CacheHits	0
3	4	CacheMisses	47
3	5	CacheHits	2
3	5	CacheMisses	30
3	6	CacheHits	0
3	6	CacheMisses	27
3	7	CacheHits	3
3	7	CacheMisses	28
3	8	CacheHits	6
3	8	CacheMisses	16
4	0	CacheHits	7
4	0	CacheMisses	20
4	1	CacheHits	2
4	1	CacheMisses	46
4	2	CacheHits	6
4	2	CacheMisses	27
4	3	CacheHits	2
4	3	CacheMisses	36
4	4	CacheHits	0
4	4	CacheMisses	43
4	5	CacheHits	6
4	5	CacheMisses	23
4	6	CacheHits	0
4	6	CacheMisses	25
4	7	CacheHits	6
4	7	CacheMisses	30
4	8	CacheHits	5
4	8	CacheMisses	19
